<<<<<<< HEAD
-1.140384353303701415e-01 6.813875942566050871e-03 -5.621979910965217014e-02
-7.285819772577743769e-02 2.343487609635241595e-03 -4.440228546349214711e-02
-1.119698813425881873e-01 4.640628255020217774e-04 -8.220555352836661500e-02
-8.009380949586479559e-02 1.058746772441671122e-03 -6.877596149808948289e-02
-1.050608075311462025e-01 -3.156326501881886516e-04 -1.042624630992011608e-01
-9.000362435783744453e-02 -1.040071166045852466e-02 -9.901306359392009204e-02
-7.427005679803684590e-02 -2.110077451266303972e-02 -8.539418374941826206e-02
-5.778312124089589330e-02 -2.776710482551524375e-02 -7.384291828737830909e-02
-4.051894261446907508e-02 -3.040458567337342086e-02 -6.435650065656406404e-02
-2.328070038686812920e-02 -3.309263367810565126e-02 -5.488550604461123195e-02
-6.060897727046802956e-03 -3.583219421858842985e-02 -4.542766607310398663e-02
1.114794781327449122e-02 -3.862426719515479195e-02 -3.598071548470972714e-02
2.835330739278612081e-02 -4.146990735992574229e-02 -2.654239162134074473e-02
3.455873825429156554e-02 -3.477356235635431503e-02 -1.427110543060818026e-02
5.913611630759135762e-02 -4.668566833507305919e-02 -9.705746371498510244e-03
7.636795341222360478e-02 -4.968383867901406820e-02 -2.788047876370596413e-04
9.362457520841065139e-02 -5.274005639064931888e-02 9.148061212276669199e-03
1.104480001322453442e-01 -5.396887662231845267e-02 1.512503887133039709e-02
1.268532123523120059e-01 -5.336952826048629167e-02 1.765355980613822137e-02
1.433165893291969972e-01 -5.282807541276183377e-02 2.018630034690268790e-02
1.388267768852750710e-02 -4.777803539073679530e-03 1.949206696574904297e-03
1.613356378938678171e-01 -5.229547221703627347e-02 2.295426504871213302e-02
1.108076044578163583e-01 -3.117079376486460440e-02 1.464416187971568327e-02
1.587597436045667942e-01 -3.237984965985619273e-02 1.444835284457701707e-02
1.395284182936455675e-01 -1.080585341667317407e-02 2.002526919011721022e-03
8.765790528919921443e-02 6.347392408413128281e-03 -8.413763172470891186e-03
9.282634888619685498e-02 2.907195255905684408e-02 -2.861163021296606046e-02
6.257564141296492743e-02 5.273856980734139416e-02 -4.416336026266277220e-02
3.960931493297603634e-02 6.115868150248516405e-02 -4.239416916644625499e-02
2.407323241243965184e-02 5.433745590403862152e-02 -2.758301466978889394e-02
8.526837030279697804e-03 4.757248426726616575e-02 -1.277847428321131872e-02
-7.036578302726620611e-03 4.086119341675458622e-02 2.022997875482074760e-03
-8.980083123714706697e-03 1.734885642267298966e-02 6.226287900737603048e-03
-3.011506080279223452e-02 3.104926155789547448e-02 2.389747778957969707e-02
-4.476332897275040607e-02 2.772405601177307249e-02 3.589053879176407058e-02
-1.035954099488232798e-02 5.409662422513966500e-03 8.029247021871615403e-03
-6.111340383392618869e-02 2.771153399561411546e-02 4.685067934670038292e-02
-7.483222069580085234e-02 2.774520286756370843e-02 5.604859387355797667e-02
-8.549660775777803701e-02 3.006772125614291108e-02 6.298065654495159371e-02
-2.704671592593756863e-02 9.859742742199773327e-03 1.958708173266599656e-02
-9.535418079097235378e-02 3.602270516720016552e-02 6.902426889442470070e-02
-9.549584467256606868e-02 4.085551130415951415e-02 6.899875743179059717e-02
-4.456917629352818988e-02 2.329615326326842095e-02 3.140342834501449326e-02
-7.222595070947518403e-02 5.186468059849207862e-02 4.670568522092342911e-02
-5.274044509868580644e-02 5.812872120071337773e-02 2.894804387647343519e-02
-3.973350925284017954e-02 5.799449953205215724e-02 1.413777417326822321e-02
-3.322023171477083564e-02 5.219620183905431671e-02 1.598028490058807372e-03
-2.674211305683875037e-02 4.494900191761358466e-02 -9.570534165732894755e-03
-2.030384871241856098e-02 3.176683472235541927e-02 -1.303545176230624242e-02
-9.568781939036685377e-03 1.024955791318240585e-02 -6.049179300159883942e-03
-9.934196872748770127e-03 6.159127479978140050e-04 -6.152428728825634976e-03
-6.864324006300797330e-03 -1.543039757995510672e-02 -1.124994219497986100e-02
-7.048361875542084529e-03 -2.839044865000052431e-02 -2.568317849204435066e-02
8.558247296712743948e-04 -4.012743708383124247e-02 -3.104226044112557911e-02
1.685670255621401006e-02 -5.067084074876251898e-02 -2.732846816175882321e-02
3.283310596240019558e-02 -6.127032099797000836e-02 -2.362122519363417383e-02
4.879191513578064882e-02 -7.192991174391948073e-02 -1.991964701483235275e-02
3.215491177533476991e-02 -4.197229940650996916e-02 -8.607254424138038873e-03
7.396717119354256909e-02 -8.784651681173837046e-02 -1.179142807305881210e-02
9.083278571710733107e-02 -9.827004524954015274e-02 -5.628075976943395717e-03
9.624544132921086792e-02 -1.027849548838926930e-01 -3.580808497534957238e-03
8.630563760297703391e-02 -9.872327449954224066e-02 -9.804961539618418584e-03
6.248105754716050397e-02 -7.856010876332759907e-02 -1.642324261870685420e-02
6.084971193779145637e-02 -8.637823339093129993e-02 -2.896163842249523113e-02
4.712536998315255271e-02 -7.969410384202753328e-02 -3.935424239424765297e-02
3.291900491974524001e-02 -6.616406354575825322e-02 -4.567685237230660611e-02
2.293921120548000556e-02 -5.297114731865407156e-02 -5.212132073793854931e-02
1.594364226720548436e-02 -3.649412593028961149e-02 -5.295491217572336623e-02
1.228956560747809096e-02 -1.976700340787510349e-02 -5.112478960246309018e-02
9.934356949755272781e-03 -3.704564803190576464e-06 -4.540824261840337162e-02
1.228812187167064793e-02 2.410097562114191586e-02 -5.129564885772957411e-02
1.369057567339792073e-02 4.951789656896118247e-02 -5.208940204041936223e-02
5.428955206659961778e-03 6.355653225466675882e-02 -4.980464326302641576e-02
-9.297167768415250111e-03 6.153311659597057032e-02 -4.078739447635729848e-02
-2.277743726616482042e-02 6.568654153987942002e-02 -3.515793269454600689e-02
-3.609877815396481116e-02 6.629545205338782665e-02 -2.688161525831904083e-02
-4.943461848069532344e-02 6.696016416086950085e-02 -1.861174236091929848e-02
-6.279065758936221153e-02 6.768101644222457303e-02 -1.034633304598808236e-02
-7.617566437880637920e-02 6.546398488055688025e-02 -1.447878790757330374e-03
-8.960790355879497127e-02 6.002713668267313507e-02 8.123563297107590578e-03
-1.031043982897539568e-01 4.746010002939858585e-02 1.798323947113512206e-02
-1.992130188877939620e-02 6.220474912915262625e-03 4.249712473950862171e-03
-1.191120184394395126e-01 1.492672055361937526e-02 2.955771978279814194e-02
-1.223122706445144564e-01 -1.134286535508860841e-02 3.802278175762130452e-02
-1.150676382421247090e-01 -3.016726635894863284e-02 4.534427100481259326e-02
-1.079321243297593769e-01 -4.901951907488279886e-02 5.267661615723847474e-02
-9.856262328939516260e-02 -5.590177810740526443e-02 5.890693660099773077e-02
-3.209700151711759875e-02 -1.853149582592034800e-02 2.191297284001184065e-02
-8.278890936188511296e-02 -4.905263737746232144e-02 6.584375228143102277e-02
-7.115355168386604257e-02 -4.403130012115362424e-02 7.099110748825539219e-02
-5.953478204915921279e-02 -3.905298014251898375e-02 7.615546188266882066e-02
-8.360267898629092365e-03 -5.402294826265733110e-03 1.249649257196418575e-02
-4.399597364943545752e-02 -1.534347244697683438e-02 8.274411951443311208e-02
-2.917102309637539456e-02 1.697026842296973231e-02 8.884900767543132960e-02
-1.345856440995621926e-02 4.641220741927127441e-02 9.395646590396695974e-02
3.874309775171061714e-03 6.374482598294631264e-02 9.448244885339711352e-02
2.199003096800614121e-02 7.181588761657019260e-02 9.144578800911101757e-02
3.967468350434461694e-02 7.427674888204729986e-02 8.626172363699412260e-02
5.691329709619648985e-02 7.112969113594806714e-02 7.892901476231067859e-02
7.416770631081624765e-02 6.797077742644017095e-02 7.161520592261373663e-02
5.880546867384398718e-02 4.334456889428434795e-02 4.333856520893593356e-02
1.028787434911933307e-01 6.268616912114287343e-02 5.949789306501994390e-02
1.109509798241775230e-01 4.536910494854586029e-02 5.003231365456285024e-02
1.105377267861166746e-01 2.831292652399268472e-02 3.499884314750074249e-02
1.109219252962048013e-01 2.563733801184425384e-02 1.658383869276437370e-02
1.113478253117082956e-01 2.297090594583522938e-02 -1.827199143776577503e-03
4.393098381748942322e-02 8.286353000052136888e-03 -5.708405460613252130e-03
1.120105596862335934e-01 1.924915838229319595e-02 -2.740833401938035097e-02
1.086932456332291158e-01 3.180330621092216509e-02 -4.806184109151945272e-02
8.822594442444431362e-02 3.393459000745087384e-02 -5.334806412316071833e-02
9.543269940152435127e-02 1.604925931275603262e-02 -6.166553292711735718e-02
8.821956692204693806e-02 -1.762973286532498046e-02 -5.656327595570321415e-02
7.895689718935354484e-02 -3.849427891263906831e-02 -5.369296423189195283e-02
6.769296143301471724e-02 -4.654622195576631205e-02 -5.305391052784252937e-02
4.789362851651864789e-02 -4.497145131313023958e-02 -4.369687952161303152e-02
4.705498250017797757e-02 -6.127890319591595969e-02 -5.192815605138812601e-02
3.579131312075959498e-02 -6.931421063080972500e-02 -5.132293996068651443e-02
2.535489415659523266e-02 -7.249529156428391463e-02 -5.326146345611443983e-02
7.201080243671455737e-03 -2.762465490936149431e-02 -2.123916129733651945e-02
1.140751616946382267e-02 -7.011100569877377897e-02 -5.376060349024620183e-02
1.125149467633837453e-03 -6.834461337660527325e-02 -5.178635299370579897e-02
-9.151263877816555314e-03 -6.658131912835474342e-02 -4.982451376603166254e-02
-1.813961775632290385e-02 -6.153702129187017811e-02 -5.006394412860780407e-02
-2.583056785065412225e-02 -5.321375577638742110e-02 -5.250470143937893686e-02
-3.350768737015282633e-02 -4.489376075156855522e-02 -5.495804210855577410e-02
-4.117446440770602956e-02 -3.657384982735702866e-02 -5.742455369459247699e-02
-4.883436283697719510e-02 -2.825082065564119699e-02 -5.990482688536672568e-02
-5.649082379577662766e-02 -1.992145379284100681e-02 -6.239945563946684010e-02
-5.366216489185822447e-02 -1.033015907201927097e-02 -5.450030700537116662e-02
-7.060269880147483634e-02 -4.550926404590804712e-03 -6.701578635779313620e-02
-6.550473982770846360e-02 9.803844188332772047e-03 -6.683765967447347078e-02
-6.006986033286173393e-02 1.575896610105801190e-02 -6.186842562779801963e-02
-6.335999460745743439e-02 1.711900262663488756e-02 -5.496303859418347204e-02
-5.896399804233184994e-02 2.613151607671325774e-02 -4.532079031196027674e-02
-6.251094053044668752e-02 3.869319240639604307e-02 -4.190333628623856693e-02
-6.206055456998633979e-02 4.985883989170892400e-02 -3.517273388113500293e-02
-6.160379206055015266e-02 6.104250235865047586e-02 -2.845056175210218877e-02
-6.114032212838384911e-02 7.224850755750331088e-02 -2.173520959083083751e-02
-6.066978441046160658e-02 8.348119035201016780e-02 -1.502506871026700920e-02
-6.019178883860053231e-02 9.474489427428915700e-02 -8.318531663956489283e-03
-5.970591540456966773e-02 1.060439730777382183e-01 -1.613991862665968124e-03
-5.921171390131955287e-02 1.173827922934565088e-01 5.090156807892771106e-03
-5.870870363948903214e-02 1.287657307873026624e-01 1.179552036722613176e-02
-5.464303692610905649e-02 1.290764044658132548e-01 1.698018277061206366e-02
-4.352355486017673442e-02 1.105796798367746775e-01 1.561998109492745979e-02
-2.895277980091452014e-02 8.437306373864246478e-02 9.238112113009464346e-03
-1.447445791506165452e-02 5.816569254052910559e-02 2.858452661866824410e-03
-8.206355617809530886e-05 3.194776470098227572e-02 -3.520524767180220529e-03
8.371090802309447479e-03 6.779667985653304273e-03 -6.153682212172471161e-03
2.409655380081316897e-02 -1.244913445033516558e-02 -1.425605159210673739e-02
3.828821023292023479e-02 -3.874526148302979978e-02 -2.064030358358193845e-02
5.241718972567493973e-02 -6.508844255930713862e-02 -2.702950043464964064e-02
5.706931808738333056e-02 -7.740679743102610311e-02 -2.063084010286317035e-02
5.230408073483261422e-02 -7.567596808924492713e-02 -1.442789725783750684e-03
4.433798669322079611e-02 -6.872307489054955976e-02 1.580691150348206842e-02
3.566695553612628938e-02 -5.700212899187533794e-02 4.470852237327471029e-02
1.594488302536742688e-02 -2.448475681570356707e-02 8.226320429622843711e-02
-3.669613171904353554e-03 8.068982329919972135e-03 1.198375893680139470e-01
-1.139470200609833325e-02 2.724256996872543440e-02 1.554950753942002939e-01
1.885441499165120007e-04 2.646186264432125179e-02 1.558591754763068160e-01
1.924059431406710194e-02 1.911402321447423433e-02 1.228755787546139538e-01
3.319185547625207178e-02 1.081417041961076422e-02 8.168509911123070233e-02
5.519316104901661468e-02 5.115837209964318316e-03 6.066876453542457970e-02
5.557085416124672717e-02 1.289091125067851062e-04 2.804487954900581129e-02
8.267812054247368481e-02 -2.624213014936074319e-03 1.586119398019687418e-02
4.835105313457681991e-02 -2.528470171674167179e-03 6.149490123942383561e-04
2.131982712910147210e-02 -1.277965642637586639e-03 -6.723701080817756680e-04
3.157858540210143478e-02 -2.054520937315918241e-03 -6.657612371909176884e-04
8.154203448816640942e-02 -7.096931885524947539e-03 8.955624614126828087e-03
6.890103981541029210e-02 -9.265085465914564902e-03 2.792345101116107051e-02
5.628484206648402821e-02 -1.140773620031712912e-02 4.689796673448474312e-02
4.368787765465355355e-02 -1.352582027631031233e-02 6.588371625368058537e-02
3.110458620561455320e-02 -1.562023872469820926e-02 8.488524670631425462e-02
2.200792307747491752e-02 -1.469146762271006379e-02 8.856441680516052850e-02
1.751200666666003283e-02 -1.001724647856925242e-02 7.678293508950463642e-02
1.414546422429560635e-02 -4.605019815686836777e-03 6.488067186157227273e-02
1.080244301928484814e-02 8.128171338589561127e-04 5.299394881334380802e-02
7.481469483938812774e-03 6.238270672180028405e-03 4.111991879556636115e-02
4.181092422060831565e-03 1.167335679660092863e-02 2.925573767604271874e-02
8.998824037773057137e-04 1.712010188301148900e-02 1.739856366360478454e-02
-2.363568824293714368e-03 2.258054337632377229e-02 5.545556632456789294e-03
-5.610648913544060909e-03 2.805673048942553330e-02 -6.306122551141375536e-03
-3.522265519547893107e-03 1.412737243116196292e-02 -6.522977395687145491e-03
-1.029165686081619062e-02 3.589752459613598096e-02 -2.336604020139542229e-02
-1.350389721476485776e-02 4.141781938217631298e-02 -3.522550279257251338e-02
-1.670442264575271174e-02 4.696097500687714671e-02 -4.709340336033900065e-02
-1.871569365074335703e-02 3.858183653617613257e-02 -4.743982097937395753e-02
-1.959557799979248782e-02 1.627360964924989828e-02 -3.626483884694747112e-02
-2.055177303556143809e-02 -6.026623386146096051e-03 -2.509854430359894847e-02
-2.158469683017526924e-02 -2.832720516156570639e-02 -3.438494817955257965e-02
-2.268566418033795759e-02 -4.164805384834034674e-02 -6.196761543646930187e-02
-2.381844227377284337e-02 -4.599412549034138237e-02 -8.740646741173756229e-02
-2.497442396779451720e-02 -5.035542571331078771e-02 -1.128662563503566862e-01
-2.615423088768192156e-02 -5.473354584997879024e-02 -1.383530801135353094e-01
-3.093088420183400314e-02 -5.397027148060062202e-02 -1.435427492411957273e-01
-3.410121640077368871e-02 -4.991340753227779814e-02 -1.284418504530998040e-01
-3.209140612273322923e-02 -4.773165697572784305e-02 -1.133770606820893728e-01
-3.008876642809128754e-02 -4.557294763392184117e-02 -9.833942793461382392e-02
-2.809252827837787139e-02 -4.343640712502334217e-02 -8.332535044334800356e-02
-2.610192026109208613e-02 -4.132117525380998163e-02 -6.833123204073909829e-02
-2.411616831657695595e-02 -3.922640368879718592e-02 -5.335348130404204969e-02
-1.579380744967864110e-03 -2.604381707514550216e-03 -3.080479086169297942e-03
-2.200146327705885391e-02 -3.701635426691018971e-02 -3.737202965723137454e-02
-2.002265434979790676e-02 -3.496032864221963049e-02 -2.241605586752339410e-02
-2.255343934894064872e-02 -3.161957368508071936e-02 1.332589923718188220e-02
-3.170705786802281712e-02 -2.973228466074338480e-02 7.192707525471728203e-02
-4.033157834243188133e-02 -2.686075856578241244e-02 1.310184753317383266e-01
-3.888053882367300401e-02 -2.292717744542500935e-02 1.900620244802173342e-01
-7.641472092113991629e-03 -4.670009473360806421e-03 4.968675146451438651e-02
-3.007297491883702267e-02 -1.759589036947715665e-02 1.837151776100574008e-01
-2.592375396168155113e-02 -1.371464784251062545e-02 1.346279429271379502e-01
-1.806445873734656730e-03 -8.848793316310306703e-04 8.184619819779167041e-03
-2.145661307514206556e-02 -9.558315241318072683e-03 8.190275472045949190e-02
-1.730395808493214935e-02 -5.705479077506076489e-03 3.286751447223726363e-02
-1.579280635828613291e-02 -1.662933788134666807e-03 2.891342207104946778e-03
-1.692168676092650412e-02 2.579033565834513032e-03 -8.032941572598848584e-03
-3.061735557305802092e-03 8.805150331730093784e-04 -2.493697169809804687e-03
-1.821803649819664361e-02 7.553772937907502795e-03 -2.083123832009622228e-02
-1.933455539066349788e-02 1.180591196418269775e-02 -3.176253325776318137e-02
-1.997909962490980115e-02 1.683999451816332871e-02 -2.913027503302181853e-02
-7.000530159278599458e-03 7.126360019021338310e-03 -5.206480315185652193e-03
-1.598605766401564945e-02 1.911197563701812902e-02 -3.166174820983857184e-03
-1.113528566544505841e-02 1.835329717522743084e-02 1.193646585389869421e-03
-6.248577257240307131e-03 1.758622116998686397e-02 6.732698908433642397e-04
-1.366927032126966438e-03 1.681496424689122443e-02 1.530521076266769503e-04
3.511849996553184639e-03 1.603924411957058024e-02 -3.671336156873107148e-04
7.608666688261981302e-03 1.253448336741210152e-02 -1.957209738907494338e-04
2.591456151299481418e-03 2.288532522628056089e-03 7.498699127464798103e-05
1.181277102004100674e-02 4.659287767530450458e-03 5.120281374818915236e-04
1.226188656211927089e-02 -8.497451045050961492e-04 6.947445853694838571e-04
1.782465116933640986e-02 -6.721132988337703666e-03 9.647205495708844258e-04
2.084986839330772029e-02 -1.384720083120394643e-02 7.286720448281272999e-04
2.013858545630035912e-02 -1.828331385225510572e-02 2.915526078277120344e-04
2.598384756733781650e-02 -2.872430651533577906e-02 -4.886210182304534386e-05
2.815152799467053255e-02 -3.376017148734137413e-02 -2.249238859963085743e-04
2.341525549866037628e-02 -2.814079184243005807e-02 -1.303732892518976144e-04
3.102322106505496849e-02 -3.743225303056516018e-02 -1.057086911717929881e-04
3.141441893657429679e-02 -3.701308584396788975e-02 -1.137388576526737483e-04
2.086252315576960295e-02 -2.343398940936802788e-02 -1.235692647834102538e-04
3.008920412521084997e-02 -3.215592115442154897e-02 -2.536681841225280130e-04
2.748055982807518990e-02 -3.060917421432248625e-02 5.858965007366985950e-05
2.235792485626526306e-03 -2.712827264420908033e-03 3.931036313486491217e-05
2.265883138646062472e-02 -3.038497241669615642e-02 -1.422930789895522727e-04
1.883668061760322698e-02 -3.035437764606966141e-02 -9.242871972018465768e-05
1.562759962972638805e-02 -3.049746534907911769e-02 3.354628041023170336e-04
1.241519980902287823e-02 -3.064405353108221389e-02 -3.223515792782570533e-04
1.063743687830085057e-02 -3.024802775079810796e-02 1.625585420375387253e-05
1.610412192238742371e-03 -4.570002068511573243e-03 1.357502318210625019e-04
1.024652783277568181e-02 -2.915702631772441877e-02 1.758854270674487397e-03
9.870271608786052725e-03 -2.824894730853691471e-02 -2.050364063723610422e-03
9.367216908114083321e-03 -2.742562322064423866e-02 -2.382577812593228775e-02
1.034403670526144389e-02 -2.291856888536181538e-02 -3.312713169543383268e-02
9.859900515186091272e-03 -1.216616034217651680e-02 -1.486603240124763532e-02
1.491153056192134202e-02 -8.254042651501147798e-03 -5.047072213054047164e-03
1.752790699507276659e-02 -2.480668310857660089e-05 1.076207156771534328e-02
2.017686647217931811e-02 8.198272045002430106e-03 2.657379320453948091e-02
2.285958123867776887e-02 1.641824519316755285e-02 4.239187972072624294e-02
2.557725760085790417e-02 2.463815774104275921e-02 5.822011965105345493e-02
2.833113644118197966e-02 3.286104901648085469e-02 7.406230394297126651e-02
3.112249375556883427e-02 4.108995371881206393e-02 8.992222685634151946e-02
3.393353555586932357e-02 4.921935898947260579e-02 9.155528808995899714e-02
3.500580176946373884e-02 5.356538568741243261e-02 7.862073864815914692e-02
3.434367004991643185e-02 5.424358471512901597e-02 6.536387928053924434e-02
3.369878490277446875e-02 5.494377250511526395e-02 5.212267475471959316e-02
3.307099035610805426e-02 5.566614288693572804e-02 3.889395353192555416e-02
3.246013949725846254e-02 5.641089905414111566e-02 2.567454704088015585e-02
3.186609444537724656e-02 5.717825363891827772e-02 1.246128892342144266e-02
1.000647364009094563e-02 1.830526612067445019e-02 1.191444585364408908e-03
3.106966438857523827e-02 5.821161383364957531e-02 -4.909725832758489103e-03
3.051097795610137678e-02 5.902748994010980493e-02 -1.812109039505371832e-02
2.996865636076423423e-02 5.986674518318844951e-02 -3.133679671580193171e-02
1.757433475436417925e-02 4.805704073984952418e-02 -3.437912560483684377e-02
-4.049664015163425765e-03 1.844566608349757289e-02 -3.710436993296043623e-02
-2.306551730368594164e-02 9.290907157187342294e-03 -4.354912978868796108e-02
-4.206696285325874779e-02 2.577000543351226983e-02 -4.385938494924848663e-02
-6.103608980755197144e-02 4.230237829807177719e-02 -4.418014750075630742e-02
-7.032411458419919603e-02 5.780253090237826713e-02 -5.044433789651164846e-02
-5.115331935748325398e-02 4.752118955048437871e-02 -4.127982241668497199e-02
-6.574588370670979287e-02 6.166773121401812607e-02 -5.390245145254340953e-02
-6.221420689762950651e-02 5.899914290752369256e-02 -5.176762556937516968e-02
-5.871775276278121819e-02 5.634478924032246261e-02 -4.964520167698099201e-02
-5.525485154874313493e-02 5.370379406578180276e-02 -4.753467149628824717e-02
-5.182385416323389421e-02 5.107527880471340181e-02 -4.543552959774083827e-02
-4.686144677764458172e-02 4.590482598307281392e-02 -4.084517212473150194e-02
-3.947534424495585670e-02 3.827972132906705405e-02 -3.376957398984489767e-02
-1.774990714299900380e-02 1.735347251817332195e-02 -1.509061922275205941e-02
-2.687991157200966472e-02 2.668286746997798956e-02 -2.297881320673578892e-02
-1.868353317980559966e-02 1.913344170427556945e-02 -1.592578525831676514e-02
-1.051760328843755025e-02 1.157252062982045034e-02 -8.876574973720536416e-03
-2.378500526058199144e-03 3.997289742705401744e-03 -1.829493979862082060e-03
5.737366956138265604e-03 -3.595087626528050209e-03 5.217145589374878184e-03
1.383356299622411946e-02 -1.120747128721573740e-02 1.226503149097254129e-02
2.191362515985945461e-02 -1.884274521099633948e-02 1.931585161850901677e-02
3.141289012777296469e-02 -2.657250422436770523e-02 2.532782643348263640e-02
4.339494344989299618e-02 -3.445496419905463847e-02 2.953008722902193336e-02
5.643280668618094048e-02 -4.242995740505087210e-02 3.296710850029450218e-02
5.455114045595985811e-02 -4.833872836598637757e-02 3.879743444461149909e-02
3.775761167006611713e-02 -5.213758424751576553e-02 4.702246172904112759e-02
2.097015306826376449e-02 -5.591769917690601888e-02 5.525874807487926588e-02
4.334859059293210033e-03 -5.740296660945005958e-02 6.097359184361348522e-02
-1.197695896965572313e-02 -6.329199957391290488e-02 7.145454198401410273e-02
-1.433369207212520716e-02 -6.448382910613228991e-02 7.268525140083272051e-02
-1.586874571100405735e-03 -6.302462007015639800e-02 6.664783271648153096e-02
1.010170227060651653e-03 -6.209028857977588051e-02 6.017112180741021610e-02
-1.362097915143930260e-05 -2.704949703466291949e-04 2.466027100159244806e-04
-7.232983141171077553e-03 -6.178839345591998627e-02 5.345995411562544375e-02
-1.544250213515095498e-02 -6.149208065403667656e-02 4.679077651741177235e-02
-2.365771776471348176e-02 -6.120046062001185255e-02 4.013280146749568372e-02
-3.084860993709209048e-02 -5.371814955316473600e-02 2.921534605245213606e-02
-4.584993814439194265e-02 -6.424243777035446024e-02 2.693605422103880279e-02
-5.005894898869282100e-02 -6.561298543908529457e-02 1.865545944680377030e-02
-5.429450804148969190e-02 -6.699890188404848679e-02 1.037932765741905738e-02
-5.855863072985767470e-02 -6.840060041376863631e-02 2.105676396310446168e-03
-6.285334799572639408e-02 -6.981849116948904421e-02 -6.167476218263333483e-03
-6.718070724913483005e-02 -7.125298121441872579e-02 -1.444211194755543916e-02
-1.562408963847687800e-02 -1.609966758637332990e-02 -4.328503981878747617e-03
-7.248460130553685543e-02 -7.300086738781932927e-02 -2.456733418994396304e-02
-6.041671740775124422e-02 -7.091746841129444034e-02 -2.691856667568153991e-02
-3.774862115528090228e-02 -6.333012168188255353e-02 -2.316767201916388255e-02
-1.565888579661087882e-02 -3.633663921949396858e-02 -1.303076058180352784e-02
-9.946860139138884518e-03 -4.758337607212140274e-02 -1.673510773937328389e-02
6.915184103837148516e-03 -3.813883984828405488e-02 -1.282020913817565749e-02
2.380851937547777061e-02 -2.874748812381918567e-02 -8.908388874080653067e-03
3.404599787026421631e-02 -1.695657314816004929e-02 -6.447268457695052787e-03
3.764206569318317291e-02 -2.741066315082370253e-03 -5.436258673591872620e-03
1.847017386745651232e-02 3.476829590674173492e-03 -2.147960018624135194e-03
4.300223995527324705e-02 1.794166695430761405e-02 -4.003020948063996595e-03
4.286274615643561464e-02 2.853340920885897788e-02 -6.759469416073081091e-03
3.888995870974489011e-02 3.552945988717582521e-02 -1.328249190393064431e-02
3.495532747123541312e-02 4.254849250403565375e-02 -1.980870494703571710e-02
3.105721770787761918e-02 4.959307037636092458e-02 -2.633967182866128742e-02
2.719402711047077745e-02 5.666577421862563357e-02 -3.287695696223510294e-02
2.336418516791755051e-02 6.376920300063626534e-02 -3.942212626325229674e-02
1.956615256157434590e-02 7.090597481510109434e-02 -4.597674752134441045e-02
1.579842057929970595e-02 7.807872775582902491e-02 -5.254239077293795801e-02
1.205951054925737641e-02 8.529012080710338117e-02 -5.912062867436759794e-02
8.347973294634190161e-03 9.254283474731181403e-02 -6.571303687531478144e-02
2.433146751976946603e-03 4.137053183973465192e-02 -2.965760867327531941e-02
4.494283845839153126e-04 9.307759930066977078e-03 -6.729380186787275835e-03
5.878375919944813822e-03 1.010827390260786440e-01 -7.200916333278542525e-02
8.090366541773180015e-03 9.825506423745906937e-02 -6.979353267037033404e-02
